specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
KB1-02K1,KB1-02K1,KB1,9.303789551e-07,0.0,2.1500000000687717e-07,1.5399999999207752e-07,-8.920000000518222e-07,0.0,0.0,0.0,3.977524569498925e-08,0.0,5.54285714299e-05,ZI,273.0,,1,,,
KB1-02K1,KB1-02K1,KB1,9.08803059e-07,4.302324955937352e-08,2.1900000004430278e-07,1.5100000003612523e-07,-8.690000000100362e-07,-1.3000000033756757e-08,-1.0000000111073739e-09,4.100000002132004e-08,3.885284029903441e-08,5.494621368761041e-08,5.54285714299e-05,ZI,423.0,,1,,,
KB1-02K1,KB1-02K1,KB1,8.691202448e-07,6.967065374894025e-08,2.1499999999786437e-07,1.479999999930233e-07,-8.289999999542794e-07,-1.899999997094846e-08,-1.9999999511318793e-09,6.699999996346382e-08,3.715633407861592e-08,5.2546991582044256e-08,5.54285714299e-05,ZI,483.0,,1,,,
KB1-02K1,KB1-02K1,KB1,8.126998216e-07,1.0812030335932839e-07,1.8599999997760715e-07,1.3799999999083862e-07,-7.790000000253725e-07,-4.999999961970069e-09,1.0000000044000118e-09,1.0799999999483655e-07,3.474426727218857e-08,4.9135813991044735e-08,5.54285714299e-05,ZI,543.0,,1,,,
KB1-02K1,KB1-02K1,KB1,7.566306892999999e-07,1.433143398562647e-07,1.7500000002623332e-07,1.3300000001234978e-07,-7.239999999848939e-07,-9.0000000249116e-09,-3.0000000053807015e-09,1.4300000002781905e-07,3.2347218735232296e-08,4.574587544041459e-08,5.54285714299e-05,ZI,593.0,,1,,,
KB1-02K1,KB1-02K1,KB1,7.072467745e-07,1.750114281850729e-07,1.6199999995970465e-07,1.2499999999065e-07,-6.770000000413937e-07,-1.999999956906115e-09,2.723743623162836e-19,1.7499999998728944e-07,3.023597435058337e-08,4.2760124998160037e-08,5.54285714299e-05,ZI,623.0,,1,,,
KB1-02K1,KB1-02K1,KB1,6.537201236e-07,2.0110196416824658e-07,1.509999999505762e-07,1.1799999997901302e-07,-6.250000000155826e-07,-4.9999999540970364e-09,-3.999999962389933e-09,2.009999999828026e-07,2.7947621116552427e-08,3.952390481909314e-08,5.54285714299e-05,ZI,653.0,,1,,,
KB1-02K1,KB1-02K1,KB1,5.98288392e-07,2.291593332152084e-07,1.339999999821874e-07,1.0799999997669042e-07,-5.730000000102568e-07,-7.999999960158438e-09,-2.999999966773642e-09,2.2900000000103873e-07,2.5577822518247155e-08,3.6172503501277075e-08,5.54285714299e-05,ZI,683.0,,1,,,
KB1-02K1,KB1-02K1,KB1,5.534880306e-07,2.6357921014604555e-07,1.3100000003200725e-07,1.0200000001614817e-07,-5.280000000054795e-07,-1.7000000037495505e-08,-4.000000021331086e-09,2.630000000375813e-07,2.3662532654755153e-08,3.3463874600450976e-08,5.54285714299e-05,ZI,708.0,,1,,,
KB1-02K1,KB1-02K1,KB1,5.016432996000001e-07,2.991921623493159e-07,1.179999999910953e-07,9.099999999831527e-08,-4.790000000375611e-07,-2.5299999995124255e-08,-3.4999999895857174e-09,2.9810000001942136e-07,2.1446084290127236e-08,3.032934326289451e-08,5.54285714299e-05,ZI,733.0,,1,,,
