Specimen Step M D I T Field
FG-01A12 m0 1224.0 2.6 58.5 300 22.0
FG-01A12 m1 790.0 4.2 59.3 300 22.0
FG-01A12 m2 216.6 11.2 64.6 300 22.0
FG-01A12 m3 702.8 6.8 60.0 300 22.0
FG-01A12 m4 682.9 7.1 57.0 300 22.0
FG-04A13 m0 1296.0 23.1 57.6 300 22.0
FG-04A13 m1 849.7 25.4 57.3 300 22.0
FG-04A13 m2 398.3 31.0 56.3 300 22.0
FG-04A13 m3 816.0 31.7 55.3 300 22.0
FG-04A13 m4 805.0 28.3 55.1 300 22.0
FG-05B12 m0 1119.0 35.6 62.0 300 22.0
FG-05B12 m1 890.3 37.3 63.8 300 22.0
FG-05B12 m2 495.3 44.3 65.7 300 22.0
FG-05B12 m3 821.8 41.9 62.4 300 22.0
FG-05B12 m4 824.3 40.1 61.4 300 22.0
FG-12B11 m0 3620.0 12.8 56.6 300 22.0
FG-12B11 m1 2062.0 13.1 56.1 300 22.0
FG-12B11 m2 422.7 19.7 67.9 300 22.0
FG-12B11 m3 1925.0 15.7 56.6 300 22.0
FG-12B11 m4 1914.0 12.0 55.9 300 22.0
FG-01A14 m0 224.0 2.3 59.3 300 40.9
FG-01A14 m1 213.0 360.0 60.0 300 40.9
FG-01A14 m2 175.8 0.1 59.1 300 40.9
FG-01A14 m3 210.8 359.1 56.8 300 40.9
FG-01A14 m4 211.1 4.9 58.1 300 40.9
FG-05B14 m0 1476.0 33.4 64.1 300 40.9
FG-05B14 m1 1189.0 37.1 62.7 300 40.9
FG-05B14 m2 108.8 193.3 24.4 300 40.9
FG-05B14 m3 1163.0 33.8 60.3 300 40.9
FG-05B14 m4 1125.0 35.6 59.3 300 40.9
FG-07B13 m0 1569.0 17.6 53.2 300 40.9
FG-07B13 m1 1279.0 20.7 52.3 300 40.9
FG-07B13 m2 440.8 23.6 47.4 300 40.9
FG-07B13 m3 1263.0 18.4 50.5 300 40.9
FG-07B13 m4 1245.0 17.2 50.3 300 40.9
FG-12B15 m0 1806.0 7.6 58.2 300 40.9
FG-12B15 m1 1410.0 14.2 55.5 300 40.9
FG-12B15 m2 84.35 175.5 31.0 300 40.9
FG-12B15 m3 1369.0 13.5 54.7 300 40.9
FG-12B15 m4 1344.0 15.1 54.6 300 40.9
FG-04A16 m0 587.1 33.2 57.5 300 59.9
FG-04A16 m1 593.0 19.9 56.5 300 59.9
FG-04A16 m2 176.4 30.6 57.8 300 59.9
FG-04A16 m3 579.2 23.9 54.7 300 59.9
FG-04A16 m4 559.7 23.3 55.5 300 59.9
FG-05B16 m0 735.0 41.3 63.8 300 59.9
FG-05B16 m1 740.7 34.7 62.8 300 59.9
FG-05B16 m2 348.0 38.1 65.4 300 59.9
FG-05B16 m3 724.9 34.6 60.8 300 59.9
FG-05B16 m4 706.6 35.8 63.4 300 59.9
FG-07B15 m0 1849.0 15.3 52.9 300 59.9
FG-07B15 m1 1787.0 18.7 49.2 300 59.9
FG-07B15 m2 944.1 21.5 51.0 300 59.9
FG-07B15 m3 1758.0 18.2 49.9 300 59.9
FG-07B15 m4 1753.0 18.7 49.5 300 59.9
FG-12B17 m0 2704.0 9.6 57.9 300 59.9
FG-12B17 m1 2573.0 15.4 53.1 300 59.9
FG-12B17 m2 665.3 186.5 -41.1 300 59.9
FG-12B17 m3 2509.0 16.3 54.4 300 59.9
FG-12B17 m4 2456.0 11.4 52.4 300 59.9
FG-04A15 m0 697.5 23.9 59.4 300 69.4
FG-04A15 m1 708.1 26.2 58.4 300 69.4
FG-04A15 m2 73.61 86.3 68.2 300 69.4
FG-04A15 m3 692.0 29.4 56.7 300 69.4
FG-04A15 m4 681.0 24.9 53.9 300 69.4
FG-05B15 m0 1140.0 37.2 63.8 300 69.4
FG-05B15 m1 1211.0 42.4 61.9 300 69.4
FG-05B15 m2 167.3 75.5 76.3 300 69.4
FG-05B15 m3 1178.0 42.1 61.8 300 69.4
FG-05B15 m4 1137.0 38.9 61.2 300 69.4
FG-07B14 m0 1518.0 16.0 53.3 300 69.4
FG-07B14 m1 1546.0 23.6 53.6 300 69.4
FG-07B14 m2 341.0 20.5 57.5 300 69.4
FG-07B14 m3 1520.0 20.6 50.3 300 69.4
FG-07B14 m4 1494.0 17.2 48.2 300 69.4
FG-12B16 m0 2241.0 11.2 57.8 300 69.4
FG-12B16 m1 2330.0 14.8 54.8 300 69.4
FG-12B16 m2 793.5 196.0 -52.7 300 69.4
FG-12B16 m3 2269.4 17.1 55.8 300 69.4
FG-12B16 m4 2224.0 12.7 54.0 300 69.4
FG-01A13 m0 532.6 1.5 58.8 300 82.0
FG-01A13 m1 581.8 7.3 57.3 300 82.0
FG-01A13 m2 33.88 186.5 72.3 300 82.0
FG-01A13 m3 575.7 5.7 57.1 300 82.0
FG-01A13 m4 564.1 5.4 56.0 300 82.0
FG-04A12 m0 194.0 28.0 57.0 300 82.0
FG-04A12 m1 199.3 30.9 54.8 300 82.0
FG-04A12 m2 126.9 33.9 54.4 300 82.0
FG-04A12 m3 197.6 19.7 53.8 300 82.0
FG-04A12 m4 197.9 15.5 55.9 300 82.0
FG-07B12 m0 432.6 22.9 53.1 300 82.0
FG-07B12 m1 443.9 20.5 54.3 300 82.0
FG-07B12 m2 333.4 21.0 53.9 300 82.0
FG-07B12 m3 441.1 21.6 51.3 300 82.0
FG-07B12 m4 440.2 21.1 50.7 300 82.0
FG-12B12 m0 2728.0 9.6 57.8 300 82.0
FG-12B12 m1 3071.0 9.1 57.8 300 82.0
FG-12B12 m2 1095.0 193.2 -53.4 300 82.0
FG-12B12 m3 2998.0 12.6 51.0 300 82.0
FG-12B12 m4 2994.0 12.1 53.8 300 82.0
FG-01A11 m0 1794.0 355.9 59.5 300 91.3
FG-01A11 m1 2072.0 0.2 58.2 300 91.3
FG-01A11 m2 574.6 169.6 -68.2 300 91.3
FG-01A11 m3 2005.0 6.0 57.5 300 91.3
FG-01A11 m4 2007.0 5.9 59.3 300 91.3
FG-04A11 m0 84.89 24.3 58.9 300 91.3
FG-04A11 m1 90.05 23.2 56.5 300 91.3
FG-04A11 m2 44.17 38.0 58.1 300 91.3
FG-04A11 m3 89.14 26.4 58.1 300 91.3
FG-04A11 m4 89.6 25.2 58.1 300 91.3
FG-05B11 m0 684.5 36.3 63.6 300 91.3
FG-05B11 m1 760.2 35.2 62.3 300 91.3
FG-05B11 m2 331.8 32.4 70.2 300 91.3
FG-05B11 m3 742.7 43.1 62.7 300 91.3
FG-05B11 m4 738.6 42.0 62.0 300 91.3
FG-07B11 m0 185.8 18.6 53.7 300 91.3
FG-07B11 m1 194.2 19.1 51.4 300 91.3
FG-07B11 m2 133.8 25.6 53.1 300 91.3
FG-07B11 m3 192.4 23.1 52.3 300 91.3
FG-07B11 m4 192.8 23.3 53.6 300 91.3
FG-02B11 m0 2688.0 23.0 44.4 280 31.5
FG-02B11 m1 1959.0 25.6 43.0 280 31.5
FG-02B11 m2 742.3 31.8 42.4 280 31.5
FG-02B11 m3 1904.0 25.5 46.2 280 31.5
FG-02B11 m4 1910.0 20.9 44.2 280 31.5
FG-03A11 m0 1981.0 19.0 25.9 280 31.5
FG-03A11 m1 1212.0 17.8 22.1 280 31.5
FG-03A11 m2 113.2 39.3 47.5 280 31.5
FG-03A11 m3 1192.0 20.1 24.2 280 31.5
FG-03A11 m4 1185.0 18.7 21.3 280 31.5
FG-06B11 m0 2127.0 22.6 36.1 280 31.5
FG-06B11 m1 1685.0 22.9 33.5 280 31.5
FG-06B11 m2 964.0 27.6 35.5 280 31.5
FG-06B11 m3 1656.0 22.6 37.3 280 31.5
FG-06B11 m4 1654.0 23.9 33.2 280 31.5
FG-09A11 m0 1838.0 13.7 34.5 280 31.5
FG-09A11 m1 1516.0 11.0 31.7 280 31.5
FG-09A11 m2 891.4 21.3 37.7 280 31.5
FG-09A11 m3 1472.0 15.1 35.7 280 31.5
FG-09A11 m4 1466.0 11.9 32.7 280 31.5
FG-02B12 m0 1986.0 21.7 44.1 280 75.7
FG-02B12 m1 2144.0 14.9 45.4 280 75.7
FG-02B12 m2 219.2 51.1 58.0 280 75.7
FG-02B12 m3 2072.0 15.8 43.4 280 75.7
FG-02B12 m4 2037.0 21.7 44.4 280 75.7
FG-03A12 m0 1282.0 20.1 23.7 280 75.7
FG-03A12 m1 1267.0 18.4 22.7 280 75.7
FG-03A12 m2 171.3 24.0 25.6 280 75.7
FG-03A12 m3 1237.0 16.3 20.6 280 75.7
FG-03A12 m4 1237.0 16.2 19.5 280 75.7
FG-06B12 m0 2266.0 27.4 34.1 280 75.7
FG-06B12 m1 2364.0 19.5 32.8 280 75.7
FG-06B12 m2 469.2 31.7 41.7 280 75.7
FG-06B12 m3 2308.0 19.8 32.9 280 75.7
FG-06B12 m4 2301.0 19.5 33.0 280 75.7
FG-09A12 m0 721.8 12.2 35.8 280 75.7
FG-09A12 m1 727.1 8.5 32.1 280 75.7
FG-09A12 m2 499.2 11.7 32.4 280 75.7
FG-09A12 m3 705.4 12.5 33.1 280 75.7
FG-09A12 m4 702.7 8.6 31.1 280 75.7
FG-02B13 m0 2467.0 20.3 43.9 280 50.4
FG-02B13 m1 2192.0 24.6 45.0 280 50.4
FG-02B13 m2 747.4 25.3 49.4 280 50.4
FG-02B13 m3 2128.0 20.4 45.0 280 50.4
FG-02B13 m4 2123.0 21.1 42.2 280 50.4
FG-03A13 m0 1874.0 16.8 26.0 280 50.4
FG-03A13 m1 1617.0 19.9 22.9 280 50.4
FG-03A13 m2 433.8 26.8 23.8 280 50.4
FG-03A13 m3 1592.0 15.9 22.4 280 50.4
