Specimen Step M D I T Field
TR-07A32 m0 15.97 108.4 36.7 400 82.0
TR-07A32 m1 25.55 75.8 26.9 400 82.0
TR-07A32 m2 8.158 280.2 -67.9 400 82.0
TR-07A32 m3 21.32 99.4 40.6 400 82.0
TR-07A32 m4 21.42 104.0 38.6 400 82.0
TR-03A33 m0 24.79 260.6 10.9 400 40.9
TR-03A33 m1 21.09 264.7 7.9 400 40.9
TR-03A33 m2 5.285 254.7 -14.1 400 40.9
TR-03A33 m3 18.95 262.5 9.1 400 40.9
TR-03A33 m4 18.77 262.2 5.8 400 40.9
TR-08A34 m0 63.98 330.6 77.3 350 50.4
TR-08A34 m1 61.39 327.9 83.9 350 50.4
TR-08A34 m2 32.88 350.1 68.2 350 50.4
TR-08A34 m3 60.1 337.3 79.2 350 50.4
TR-08A34 m4 59.61 329.2 78.3 350 50.4
TR-08A32 m0 53.54 288.2 84.2 350 31.6
TR-08A32 m1 46.89 207.2 84.3 350 31.6
TR-08A32 m2 30.57 320.7 83.7 350 31.6
TR-08A32 m3 44.75 194.0 80.8 350 31.6
TR-08A32 m4 44.44 247.1 86.6 350 31.6
TR-04A24 m0 15.92 273.8 68.2 350 50.4
TR-04A24 m1 16.06 274.2 61.7 350 50.4
TR-04A24 m2 5.767 286.9 41.6 350 50.4
TR-04A24 m3 15.35 281.2 60.9 350 50.4
TR-04A24 m4 15.09 275.8 63.1 350 50.4
TR-04A23 m0 15.34 250.8 71.6 350 31.6
TR-04A23 m1 12.91 265.6 63.6 350 31.6
TR-04A23 m2 6.308 272.2 56.2 350 31.6
TR-04A23 m3 11.97 272.0 68.4 350 31.6
TR-04A23 m4 11.32 262.6 69.0 350 31.6
TR-08A43 m0 66.2 89.9 87.1 350 91.5
TR-08A43 m1 75.76 65.8 87.9 350 91.5
TR-08A43 m2 26.67 137.7 74.4 350 91.5
TR-08A43 m3 70.92 357.4 88.2 350 91.5
TR-08A43 m4 71.35 168.0 85.8 350 91.5
TR-04A32 m0 14.52 258.2 75.7 350 91.5
TR-04A32 m1 20.22 247.4 67.0 350 91.5
